Α/Α,Module,Τίτλος κανόνα,Κατηγορία,Κατάσταση,Είδος,Άρθρο,Τίτλος άρθρου στο πρότυπο,Παράγραφοι,Πλήθος ¶,Δείγμα κειμένου
1,M01,ΠΡΟΟΙΜΙΟ – ΣΥΜΒΑΛΛΟΜΕΝΟΙ,A,ΕΝΤΟΠΙΣΤΗΚΕ,ΟΡΟΣ,,— (εκτός αρίθμησης),¶10–10,1,μεταξύ
2,M01,ΠΡΟΟΙΜΙΟ – ΣΥΜΒΑΛΛΟΜΕΝΟΙ,B,ΕΝΤΟΠΙΣΤΗΚΕ,ΟΡΟΣ,,— (εκτός αρίθμησης),¶53–53,1,"Στην Αθήνα σήμερα την …, μεταξύ των Συμβαλλομένων,"
3,M01,ΠΡΟΟΙΜΙΟ – ΣΥΜΒΑΛΛΟΜΕΝΟΙ,C,ΕΝΤΟΠΙΣΤΗΚΕ,ΟΡΟΣ,,— (εκτός αρίθμησης),¶51–51,1,"Στην Αθήνα σήμερα την … μεταξύ των Συμβαλλομένων,"
4,M01,ΠΡΟΟΙΜΙΟ – ΣΥΜΒΑΛΛΟΜΕΝΟΙ,D,ΕΝΤΟΠΙΣΤΗΚΕ,ΟΡΟΣ,,— (εκτός αρίθμησης),¶30–30,1,"Στην Αθήνα σήμερα την … μεταξύ των Συμβαλλομένων,"
5,M02,ΟΡΙΣΜΟΙ,A,ΕΝΤΟΠΙΣΤΗΚΕ,ΑΡΘΡΟ,1,ΟΡΙΣΜΟΙ,¶86–101,16,Σε ολόκληρη τη Σύμβαση (περιλαμβανομένων των Παραρτημάτων της) οι ακόλουθοι όροι θα έχουν τη σημασία που περιγράφεται στη συνέχεια:
6,M03,ΑΝΤΙΚΕΙΜΕΝΟ ΤΗΣ ΣΥΜΒΑΣΗΣ,A,ΕΝΤΟΠΙΣΤΗΚΕ,ΑΡΘΡΟ,2,ΑΝΤΙΚΕΙΜΕΝΟ ΤΗΣ ΣΥΜΒΑΣΗΣ,¶102–105,4,"Με την παρούσα, η Τράπεζα αναθέτει και η Εταιρεία αναλαμβάνει την προμήθεια Συστήματος … από τον Ανάδοχο στην ΕΤΕ …με τη μορφή υπηρεσιών (Software-as-a-Service) σε υποδομ…"
7,M03,ΑΝΤΙΚΕΙΜΕΝΟ ΤΗΣ ΣΥΜΒΑΣΗΣ,B,ΕΝΤΟΠΙΣΤΗΚΕ,ΑΡΘΡΟ,1,ΑΝΤΙΚΕΙΜΕΝΟ ΤΗΣ ΣΥΜΒΑΣΗΣ,¶63–70,8,"Με την παρούσα, η Τράπεζα αναθέτει και η Εταιρεία αναλαμβάνει την παροχή υπηρεσιών με τη μορφή Software as a Service (Saas) της λύσης … (εφεξής «η Λύση»), και σχετικών υπ…"
8,M03,ΑΝΤΙΚΕΙΜΕΝΟ ΤΗΣ ΣΥΜΒΑΣΗΣ,C,ΕΝΤΟΠΙΣΤΗΚΕ,ΑΡΘΡΟ,1,ΑΝΤΙΚΕΙΜΕΝΟ ΤΗΣ ΣΥΜΒΑΣΗΣ,¶58–63,6,Με την παρούσα η Τράπεζα αναθέτει και η Εταιρεία αναλαμβάνει κατ’ εντολή και για λογαριασμό της Τράπεζας την παροχή υπηρεσιών στην Τράπεζα για την υλοποίηση του έργου «…»…
9,M03a,Ρήτρα SaaS / cloud στο αντικείμενο,A,ΕΝΤΟΠΙΣΤΗΚΕ,ΟΡΟΣ,2,ΑΝΤΙΚΕΙΜΕΝΟ ΤΗΣ ΣΥΜΒΑΣΗΣ,¶103–103,1,"Με την παρούσα, η Τράπεζα αναθέτει και η Εταιρεία αναλαμβάνει την προμήθεια Συστήματος … από τον Ανάδοχο στην ΕΤΕ …με τη μορφή υπηρεσιών (Software-as-a-Service) σε υποδομ…"
10,M03a,Ρήτρα SaaS / cloud στο αντικείμενο,B,ΕΝΤΟΠΙΣΤΗΚΕ,ΟΡΟΣ,1,ΑΝΤΙΚΕΙΜΕΝΟ ΤΗΣ ΣΥΜΒΑΣΗΣ,¶64–64,1,"Με την παρούσα, η Τράπεζα αναθέτει και η Εταιρεία αναλαμβάνει την παροχή υπηρεσιών με τη μορφή Software as a Service (Saas) της λύσης … (εφεξής «η Λύση»), και σχετικών υπ…"
11,M04,ΔΙΑΡΚΕΙΑ,A,ΕΝΤΟΠΙΣΤΗΚΕ,ΑΡΘΡΟ,7,ΔΙΑΡΚΕΙΑ ΤΗΣ ΣΥΜΒΑΣΗΣ,¶150–151,2,Η Σύμβαση άρχεται από την … και θα έχει ισχύ μέχρι τη λήξη της Μετά την Εγγύηση Περιόδου. Η παρούσα δύναται να παραταθεί μόνο με έγγραφη κοινή συμφωνία των Μερών
12,M04,ΔΙΑΡΚΕΙΑ,B,ΕΝΤΟΠΙΣΤΗΚΕ,ΑΡΘΡΟ,2,ΔΙΑΡΚΕΙΑ,¶71–73,3,Η παρούσα Σύμβαση ισχύει από … και λήγει με το πέρας της 3ετούς περιόδου χρήσης της Λύσης η οποία άρχεται από … και αποτελεί το head start date που ορίζει ο κατασκευαστής…
13,M04,ΔΙΑΡΚΕΙΑ,C,ΕΝΤΟΠΙΣΤΗΚΕ,ΑΡΘΡΟ,2,ΔΙΑΡΚΕΙΑ,¶64–66,3,Η διάρκεια της παρούσας Σύμβασης ορίζεται για το χρονικό διάστημα από … και έως την επιβεβαιωμένη από την Τράπεζα ολοκλήρωση παροχής των προβλεπόμενων στην παρούσα Υπηρεσ…
14,M05,ΧΡΟΝΟΔΙΑΓΡΑΜΜΑ,A,ΕΝΤΟΠΙΣΤΗΚΕ,ΑΡΘΡΟ,4,ΧΡΟΝΟΔΙΑΓΡΑΜΜΑ,¶137–139,3,Οι Συμβαλλόμενοι οφείλουν να τηρούν το Χρονοδιάγραμμα (Παράρτημα 1).
15,M06,ΠΑΡΑΛΑΒΗ (ΠΠΠ / ΠΤΠ),A,ΕΝΤΟΠΙΣΤΗΚΕ,ΑΡΘΡΟ,5,ΠΑΡΑΛΑΒΗ,¶140–143,4,Όταν το Σύστημα καθώς και οποιαδήποτε από τις επεκτάσεις ή τα Αιτήματα Τροποποίησης αυτού είναι Έτοιμα προς Προσωρινή Παραλαβή και αφού ο Ανάδοχος έχει ολοκληρώσει τους α…
16,M07,ΔΙΑΔΙΚΑΣΙΑ & ΤΡΟΠΟΣ ΠΑΡΟΧΗΣ,B,ΕΝΤΟΠΙΣΤΗΚΕ,ΑΡΘΡΟ,3,ΔΙΑΔΙΚΑΣΙΑ ΚΑΙ ΤΡΟΠΟΣ ΠΑΡΟΧΗΣ ΤΩΝ ΥΠΗΡΕΣΙΩΝ - ΠΟΙΝΙΚΕΣ ΡΗΤΡΕΣ,¶74–110,37,"Η Εταιρεία θα ενημερώσει εγγράφως την Τράπεζα για την ολοκλήρωση των Υπηρεσιών Υλοποίησης, όπως περιγράφονται λεπτομερώς στο Παράρτημα 1 της παρούσας σύμβασης, το οποίο α…"
17,M07,ΔΙΑΔΙΚΑΣΙΑ & ΤΡΟΠΟΣ ΠΑΡΟΧΗΣ,C,ΕΝΤΟΠΙΣΤΗΚΕ,ΑΡΘΡΟ,3,ΔΙΑΔΙΚΑΣΙΑ & ΤΡΟΠΟΣ ΠΑΡΟΧΗΣ ΥΠΗΡΕΣΙΩΝ,¶67–73,7,Η Εταιρεία θα εκδίδει έγγραφη σχετική ειδοποίηση προς την Τράπεζα για την παράδοση των αντίστοιχων Υπηρεσιών/Παραδοτέων την οποία θα αποστέλλει επί αποδείξει στην Τράπεζα…
18,M08,ΤΡΑΠΕΖΙΚΗ ΕΓΓΥΗΤΙΚΗ ΕΠΙΣΤΟΛΗ,A,ΕΝΤΟΠΙΣΤΗΚΕ,ΑΡΘΡΟ,6,ΤΡΑΠΕΖΙΚΗ ΕΓΓΥΗΤΙΚΗ ΕΠΙΣΤΟΛΗ ΚΑΛΗΣ ΕΚΤΕΛΕΣΗΣ,¶144–149,6,"Ως εγγύηση της ορθής, έγκαιρης και συνεπούς εκτέλεσης όλων των υποχρεώσεών του βάσει της Σύμβασης, ο Ανάδοχος θα εκδώσει, μία Τραπεζική Εγγυητική Επιστολή Καλής Εκτέλεσης…"
19,M08,ΤΡΑΠΕΖΙΚΗ ΕΓΓΥΗΤΙΚΗ ΕΠΙΣΤΟΛΗ,B,ΕΝΤΟΠΙΣΤΗΚΕ,ΟΡΟΣ,6,ΔΗΛΩΣΕΙΣ – ΕΓΓΥΗΣΕΙΣ ΤΗΣ ΕΤΑΙΡΙΑΣ,¶183–183,1,"Για την καλή εκτέλεση του Έργου, η Εταιρεία αναλαμβάνει την υποχρέωση να προσκομίσει στην Τράπεζα, Τραπεζική Εγγυητική Επιστολή τρίτης τράπεζας (εκτός της Ε.Τ.Ε. Α.Ε.), π…"
20,M08,ΤΡΑΠΕΖΙΚΗ ΕΓΓΥΗΤΙΚΗ ΕΠΙΣΤΟΛΗ,C,ΕΝΤΟΠΙΣΤΗΚΕ,ΟΡΟΣ,6,ΔΗΛΩΣΕΙΣ – ΕΓΓΥΗΣΕΙΣ  ΤΗΣ ΕΤΑΙΡΙΑΣ,¶138–138,1,"Για την καλή εκτέλεση των όρων της παρούσας Σύμβασης αναφορικά με την ολοκλήρωση του Έργου, η Εταιρεία αναλαμβάνει την υποχρέωση να προσκομίσει στην Τράπεζα, Τραπεζική Εγ…"
21,M08,ΤΡΑΠΕΖΙΚΗ ΕΓΓΥΗΤΙΚΗ ΕΠΙΣΤΟΛΗ,D,ΛΕΙΠΕΙ,,,,,,
22,M09,ΑΜΟΙΒΗ / ΣΥΜΒΑΤΙΚΕΣ ΤΙΜΕΣ,A,ΕΝΤΟΠΙΣΤΗΚΕ,ΑΡΘΡΟ,11,ΣΥΜΒΑΤΙΚΕΣ ΤΙΜΕΣ ΚΑΙ ΦΟΡΟΙ,¶176–186,11,Πίνακας Τιμών
23,M09,ΑΜΟΙΒΗ / ΣΥΜΒΑΤΙΚΕΣ ΤΙΜΕΣ,B,ΕΝΤΟΠΙΣΤΗΚΕ,ΑΡΘΡΟ,4,ΑΜΟΙΒΗ,¶111–131,21,"H αμοιβή της Εταιρείας για το Έργο κατά την 3ετή περίοδο χρήσης της Λύσης, ανέρχεται στο συνολικό ποσό των … ευρώ (…€) πλέον Φ.Π.Α και αναλύεται στον κατωτέρω πίνακα τιμώ…"
24,M09,ΑΜΟΙΒΗ / ΣΥΜΒΑΤΙΚΕΣ ΤΙΜΕΣ,C,ΕΝΤΟΠΙΣΤΗΚΕ,ΑΡΘΡΟ,4,ΑΜΟΙΒΗ,¶74–100,27,"Η αμοιβή της Εταιρείας για την παροχή των ανατιθεμένων με την παρούσα Υπηρεσιών για την υλοποίηση του Έργου συμφωνείται στο συνολικό ποσό των … ευρώ (€…), πλέον ΦΠΑ."
